Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,1uF,
"C10, C11, C12, C13, C14, C15, C3, C5, C8, C9",0805,10,100nF,
C4,1206,1,22uF 35V,
"C6, C7",0805,2,22pF,
D1,D_SMA,1,1N5819HW,
"D2, D3",LED_D3.0mm,2,LED,
D4,SOT-23,1,BAT54C,
ISP1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,Jack_3.5mm_CUI_SJ1-3515N_Horizontal,1,AudioJack3_Switch,
"J3, J6, J7",TestPoint_Pad_D4.0mm,3,Conn_01x01_Pin,
J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J5,PinHeader_2x01_P2.54mm_Vertical_SMD,1,Akku3.7V,
L1,1210,1,22uH,
"Q1, Q6, Q7",SOT-23,3,BC847,
"Q2, Q3",SOT-23,2,BSS84,
"Q4, Q5, Q9",SOT-23,3,2N7002,
Q8,SOT-23,1,AO3401A,
R1,0805,1,430k,
"R10, R11, R19, R20, R22, R23, R27",0805,7,1k,
"R12, R13",0805,2,"4,7k",
"R14, R18, R21, R25",0805,4,100k,
"R15, R16, R17, R2, R24, R26, R3, R4",0805,8,10k,
R5,0805,1,1k(1%),
R6,0805,1,1k 1%,
"R7, R8",0805,2,"5,1k",
R9,0805,1,"2,4k",
U1,SOT-23-6,1,MT3608,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,1,LM358_DFN,
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U5,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056,
"U7, U8, U9",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,3,TTP223-BA6,C80757
Y1,Crystal_SMD_HC49-SD_HandSoldering,1,Crystal,
