Designator,Mid X,Mid Y,Rotation,Layer
C1,135.35,-58.3125,0.0,bottom
C10,123.05,-64.87,0.0,bottom
C11,135.5,-80.05,270.0,bottom
C12,111.6,-86.0,0.0,bottom
C13,103.55,-86.0,0.0,bottom
C14,107.55,-86.0,0.0,bottom
C15,144.175,-70.5,270.0,bottom
C2,135.05,-63.2625,270.0,bottom
C3,127.9,-84.8375,180.0,bottom
C4,133.25,-52.5,0.0,bottom
C5,128.0,-89.25,0.0,bottom
C6,141.35,-87.0375,90.0,bottom
C7,141.35,-90.5375,90.0,bottom
C8,127.9,-87.0,180.0,bottom
C9,126.8,-64.87,180.0,bottom
D1,139.25,-53.0,180.0,bottom
D2,139.77,-122.25,0.0,bottom
D3,124.25,-122.25,0.0,bottom
D4,107.0,-74.5,0.0,bottom
ISP1,112.96,-53.52,270.0,bottom
J1,132.0,-122.06,0.0,bottom
J2,115.5,-117.3,90.0,bottom
J4,125.01,-58.475,90.0,top
J5,125.0,-53.0,180.0,bottom
L1,140.5,-56.5,0.0,bottom
Q1,145.175,-66.75,180.0,bottom
Q2,111.9375,-61.45,0.0,bottom
Q3,107.3125,-61.45,180.0,bottom
Q4,111.9375,-66.0,0.0,bottom
Q5,107.25,-66.0,180.0,bottom
Q6,115.0625,-63.75,0.0,bottom
Q7,104.25,-63.75,180.0,bottom
Q8,110.25,-76.0,180.0,bottom
Q9,107.25,-78.75,90.0,bottom
R1,142.0,-62.75,180.0,bottom
R10,125.75,-111.1625,90.0,bottom
R11,125.75,-114.6625,90.0,bottom
R12,132.5875,-78.5,0.0,bottom
R13,131.9125,-80.75,0.0,bottom
R14,108.0,-114.9125,90.0,bottom
R15,107.1625,-111.75,0.0,bottom
R16,112.0875,-58.5,180.0,bottom
R17,107.5,-58.5,180.0,bottom
R18,116.5,-69.0,180.0,bottom
R19,117.25,-66.1625,90.0,bottom
R2,145.0,-60.1625,90.0,bottom
R20,109.1625,-69.0,0.0,bottom
R21,112.9125,-69.0,180.0,bottom
R22,130.5,-67.945,270.0,bottom
R23,130.5,-71.87,270.0,bottom
R24,117.5,-58.6625,90.0,bottom
R25,113.0875,-73.25,0.0,bottom
R26,103.5875,-79.25,0.0,bottom
R27,103.75,-76.4125,270.0,bottom
R3,140.6,-82.0875,180.0,bottom
R4,141.0875,-70.5,0.0,bottom
R5,142.2625,-65.0,180.0,bottom
R6,147.0875,-69.75,180.0,bottom
R7,134.25,-115.5,180.0,bottom
R8,129.3375,-115.5,0.0,bottom
R9,136.0,-111.0,270.0,bottom
U1,141.75,-60.0,180.0,bottom
U2,137.8,-60.3125,270.0,bottom
U3,141.675,-67.8125,270.0,bottom
U4,125.475,-71.695,270.0,bottom
U5,135.0,-87.25,270.0,bottom
U6,130.85,-110.825,270.0,bottom
U7,112.5,-89.0,180.0,bottom
U8,104.540476,-89.0,180.0,bottom
U9,108.5,-89.0,180.0,bottom
Y1,146.5,-82.5,90.0,bottom
