"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
2;"J6,J7,J3";"TestPoint_Pad_D4.0mm";3;"Conn_01x01_Pin";;;
3;"U4";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
4;"C11,C10,C9,C3,C8,C13,C14,C15,C12,C5";"C_0805_2012Metric";10;"100nF";;;
5;"Q3,Q2";"SOT-23";2;"BSS84";;;
6;"C6,C7";"C_0805_2012Metric";2;"22pF";;;
7;"R9";"R_0805_2012Metric";1;"2,4k";;;
8;"R23,R19,R27,R10,R20,R22,R11";"R_0805_2012Metric";7;"1k";;;
9;"Q1,Q6,Q7";"SOT-23";3;"BC847";;;
10;"C1,C2";"C_0805_2012Metric";2;"1uF";;;
11;"U3";"DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm";1;"LM358_DFN";;;
12;"U6";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias";1;"TP4056-42-ESOP8";;;
13;"D3,D2";"LED_D3.0mm";2;"LED";;;
14;"R6";"R_0805_2012Metric";1;"1k 1%";;;
15;"R1";"R_0805_2012Metric";1;"430k";;;
16;"Q8";"SOT-23";1;"AO3401A";;;
17;"R12,R13";"R_0805_2012Metric";2;"4,7k";;;
18;"R14,R18,R21,R25";"R_0805_2012Metric";4;"100k";;;
19;"R3,R26,R16,R17,R2,R15,R24,R4";"R_0805_2012Metric";8;"10k";;;
20;"R5";"R_0805_2012Metric";1;"1k(1%)";;;
21;"U9,U8,U7";"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL";3;"TTP223-BA6";;;
22;"R8,R7";"R_0805_2012Metric";2;"5,1k";;;
23;"J5";"PinHeader_2x01_P2.54mm_Vertical_SMD";1;"Akku3.7V";;;
24;"U5";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
25;"D4";"SOT-23";1;"BAT54C";;;
26;"R4";"R_0805_2012Metric";1;"270k(1%)";;;
27;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
28;"Q9,Q5,Q4";"SOT-23";3;"2N7002";;;
29;"ISP1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
30;"L1";"C_1210_3225Metric";1;"22uH";;;
31;"D1";"D_SMA";1;"1N5819HW";;;
32;"J2";"Jack_3.5mm_CUI_SJ1-3515N_Horizontal";1;"AudioJack3_Switch";;;
33;"U2";"SOT-23";1;"MCP1700x-330xxTT";;;
34;"Y1";"Crystal_SMD_HC49-SD_HandSoldering";1;"Crystal";;;
35;"C4";"C_1206_3216Metric";1;"22uF 35V";;;
36;"U1";"SOT-23-6";1;"MT3608";;;
